rv,gene_name,mtbc0,h37rv_product,mycobrowser_product,mycobrowser_function,mycobrowser_ec,was_unknown_in_mycobrowser,atlas_verdict,atlas_confidence,atlas_function,atlas_ec,novelty,ahead_of_mycobrowser,ahead_via,ec_vs_mycobrowser,annotation_route,swissprot_curated,functional_basis,support_evidence,n_references
Rv1264,,mtbc0_001353,adenylyl cyclase,Adenylyl cyclase (ATP pyrophosphate-lyase) (adenylate cyclase),"Possibly involved in cAMP synthesis [catalytic activity: ATP = 3',5'-cyclic AMP + diphosphate]. Activity is PH-dependent. Inhibited by polyphosphates.",4.6.1.1,0,requalified,high,"Adenylate cyclase. Pfam: Ad_Cy_reg (PF16701.11), Guanylate_cyc (PF00211.26).",4.6.1.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1265,,-,hypothetical protein,Unknown protein,Unknown. Seems to be expressed during macrophage infection.,,1,family_assigned,medium,"Contains Rv1265_N (PF27105.1), Mb1296_C (PF27540.1) domain(s); putative function inferred from the domain architecture.",,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1266c,pknH,mtbc0_001355,serine/threonine-protein kinase PknH,Probable transmembrane serine/threonine-protein kinase H PknH (protein kinase H) (STPK H),"Involved in signal transduction (via phosphorylation). Thought to be involved in arabinan metabolism, phosphorylating perhaps EMBR|Rv1267c [catalytic activity: ATP + a protein = ADP + a phosphoprotein].",2.7.11.1,0,requalified,high,"Serine/threonine protein kinase PknH. Pfam: Pkinase (PF00069.32), PK_Tyr_Ser-Thr (PF07714.24), PknH_C (PF14032.13).",2.7.11.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1267c,embR,mtbc0_001357,transcriptional regulator EmbR,Probable transcriptional regulatory protein EmbR,"Involved in transcriptional mechanism. Thought to regulate the biosynthesis of the mycobacterial cell wall arabinan and resistance to ethambutol (EMB; dextro-2,2'-(ethylenediimino)-DI-1-butanol), regulating EMBA|Rv3794 and EMBB|Rv3795.",,0,requalified,high,"Response regulator transcription factor EmbR. Pfam: Trans_reg_C (PF00486.35), BTAD (PF03704.24), Yop-YscD_cpl (PF16697.11), FHA (PF00498.32).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1268c,,mtbc0_001358,hypothetical protein,Hypothetical protein,,,1,family_assigned,medium,C39 family peptidase. Pfam: Peptidase_C39_2 (PF13529.14).,,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1269c,,mtbc0_001359,hypothetical protein,Conserved probable secreted protein,,,0,family_assigned,low,DUF4189; same fold as Rv1813c (PDB 7NHZ); secreted DUF4189-family protein.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv1270c,lprA,mtbc0_001360,lipoprotein LprA,Possible lipoprotein LprA,,,0,requalified,high,TLR2 agonist LprA. Pfam: LppX_LprAFG (PF07161.20).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1271c,,mtbc0_001361,hypothetical protein,Conserved hypothetical secreted protein,,,0,family_assigned,low,Secreted protein recognised as an antigen (antibody responses during active TB). Pfam DUF732 (a mycobacterial domain of unknown function). Molecular function unfixed.,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,1
Rv1272c,,mtbc0_001362,drug ABC transporter ATP-binding protein,Probable drugs-transport transmembrane ATP-binding protein ABC transporter,Thought to be involved in active transport of drugs across the membrane (export): multidrugs resistance by an export mechanism. Responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"Fatty acid ABC transporter ATP-binding protein/permease. Pfam: ABC_membrane (PF00664.29), ABC_tran (PF00005.34).",7.6.2.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1273c,,mtbc0_001363,drug ABC transporter ATP-binding protein,Probable drugs-transport transmembrane ATP-binding protein ABC transporter,Thought to be involved in active transport of drugs across the membrane (export): multidrugs resistance by an export mechanism. Responsible for energy coupling to the transport system and for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"ABC transporter ATP-binding protein. Pfam: ABC_membrane (PF00664.29), ABC_tran (PF00005.34).",7.6.2.-,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1274,lprB,mtbc0_001364,lipoprotein LprB,Possible lipoprotein LprB,,,0,family_assigned,medium,"Ribosome-associated heat-shock protein of the Hsp15/RimP-like family (eggNOG COG1188, translation COG category J), containing an S4 RNA-binding domain implicated in 50S-subunit recycling. Ribosome-associated function at family level.",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1275,lprC,mtbc0_001365,lipoprotein LprC,Possible lipoprotein LprC,,,0,family_assigned,low,Lipoprotein of the Lpr (LprB/LprC) family. RefSeq product 'lipoprotein LprC'.,,confirmed,0,,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,MS-detected,0
Rv1276c,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,3.1.3.-,1,family_assigned,medium,Contains His_Phos_1 (PF00300.28) domain(s); putative function inferred from the domain architecture.,3.1.3.-,new_family_or_domain,1,EC number;COG category,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING;phenotype,purifying-selection;MS-detected,0
Rv1277,,-,hypothetical protein,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,Contains Metallophos (PF00149.34) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,1,COG category,,orthology (eggNOG),0,eggNOG;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1278,,mtbc0_001368,hypothetical protein,Hypothetical protein,,,1,family_assigned,medium,"AAA family ATPase. Pfam: AAA_15 (PF13175.13), AAA_27 (PF13514.13), AAA_23 (PF13476.13).",,new_family_or_domain,1,COG category,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING;phenotype,MS-detected,0
Rv1279,,mtbc0_001369,GMC-type oxidoreductase,Probable dehydrogenase FAD flavoprotein GMC oxidoreductase,"Function unknown; probably involved in cellular metabolism, probably electron-transfer-linked.",1.1.-.-,0,family_assigned,medium,"GMC family oxidoreductase N-terminal domain-containing protein. Pfam: GMC_oxred_N (PF00732.26), GMC_oxred_C (PF05199.20).",1.1.-.-;1.1.99.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,pseudogene-candidate;MS-detected,0
Rv1280c,oppA,mtbc0_001370,oligopeptide ABC transporter substrate-binding lipoprotein OppA,Probable periplasmic oligopeptide-binding lipoprotein OppA,"Involved in active transport of oligopeptide across the membrane (import). This protein is a component of the oligopeptide permease, a binding protein-dependent transport system; it binds peptides up to five amino acids long with high affinity.",,0,family_assigned,medium,Oligopeptide ABC transporter substrate-binding protein OppA. Pfam: SBP_bac_5 (PF00496.28).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1281c,oppD,mtbc0_001371,oligopeptide ABC transporter ATP-binding protein OppD,Probable oligopeptide-transport ATP-binding protein ABC transporter OppD,Involved in active transport of oligopeptide across the membrane (import). Responsible for energy coupling to the transport system.,,0,family_assigned,medium,"ABC transporter ATP-binding protein. Pfam: oligo_HPY (PF08352.18), ABC_tran (PF00005.34).",7.4.2.6,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1282c,oppC,mtbc0_001372,oligopeptide ABC transporter permease OppC,Probable oligopeptide-transport integral membrane protein ABC transporter OppC,Involved in active transport of oligopeptide across the membrane (import). Responsible for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"ABC transporter permease. Pfam: OppC_N (PF12911.13), BPD_transp_1 (PF00528.28).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1283c,oppB,mtbc0_001373,oligopeptide ABC transporter permease OppB,Probable oligopeptide-transport integral membrane protein ABC transporter OppB,Involved in active transport of oligopeptide across the membrane (import). Responsible for the translocation of the substrate across the membrane.,,0,family_assigned,medium,"ABC transporter permease. Pfam: BPD_transp_1_N (PF19300.5), BPD_transp_1 (PF00528.28).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1284,canA,mtbc0_001374,beta-carbonic anhydrase,Beta-carbonic anhydrase,Catalyzes reversible dehydration of CO2 to form bicarbonate,,0,requalified,high,Beta-carbonic anhydrase CanA. Pfam: Pro_CA (PF00484.25).,4.2.1.1,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
Rv1285,cysD,mtbc0_001375,sulfate adenylyltransferase subunit 2,Probable sulfate adenylyltransferase subunit 2 CysD,Involved in sulfate activation pathway. First step in the sulfate activation pathway. This reaction occurs early in the reductive branch of the cysteine biosynthetic pathway [catalytic activity:ATP + sulfate = diphosphate + adenylylsulfate],2.7.7.4,0,family_assigned,medium,Sulfate adenylyltransferase subunit CysD. Pfam: PAPS_reduct (PF01507.26).,2.7.7.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1286,cysC,mtbc0_001376,adenylyl-sulfate kinase,Probable bifunctional enzyme CysN/CysC: sulfate adenyltransferase (subunit 1) + adenylylsulfate kinase,"ATP sulfurylase may be the GTPase, regulating ATP sulfurylase activity [catalytic activity 1: ATP + sulfate = diphosphate + adenylylsulfate] and APS kinase catalyzes the synthesis of activated sulfate [catalytic activity 2: ATP + adenylylsulfate = ADP + 3'- phosphoadenylylsulfate]. First and second steps in the sulfate activation pathway. These reactions occurs early in the reductive branch of the",2.7.1.25;2.7.7.4,0,requalified,high,"Adenylyl-sulfate kinase. Pfam: GTP_EFTU (PF00009.34), GTP-eEF1A_C (PF22594.3), APS_kinase (PF01583.27), AAA_33 (PF13671.13).",2.7.1.25;2.7.7.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;purifying-selection;MS-detected,0
Rv1287,,mtbc0_001377,HTH-type transcriptional regulator,Conserved hypothetical protein,Function unknown,,1,family_assigned,medium,RrF2 family transcriptional regulator. Pfam: Rrf2 (PF02082.27).,,new_family_or_domain,1,COG category,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,purifying-selection;MS-detected,0
Rv1288,,mtbc0_001378,hypothetical protein,Conserved protein,Function unknown,,1,requalified,high,"Esterase. Pfam: Phage_tail_X (PF05489.19), LysM (PF01476.27), Esterase (PF00756.27).",3.1.1.-,new_function,1,curated function (UniProt);EC number;COG category;requalified function,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1289,,mtbc0_001379,hypothetical protein,Unknown protein,,,1,family_assigned,medium,Contains Rv1289 (PF27329.1) domain(s); putative function inferred from the domain architecture.,,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1290A,,-,hypothetical protein,Hypothetical protein,,,1,family_assigned,medium,"Leucine carboxyl methyltransferase-family enzyme (eggNOG COG3315, secondary-metabolism COG category Q): a SAM-dependent protein-carboxyl methyltransferase. RefSeq leaves it 'hypothetical protein'. The methyl-acceptor substrate is undetermined.",,new_family_or_domain,1,COG category,,orthology (eggNOG),0,eggNOG;Foldseek;STRING,purifying-selection,0
Rv1290c,,mtbc0_001380,hypothetical protein,Conserved protein,Function unknown. Thought to be involved in virulence.,,1,family_assigned,low,Polytopic integral membrane protein with 4 predicted transmembrane helices (DeepTMHMM). RefSeq leaves it 'hypothetical protein'. A topological feature consistent with a membrane transporter/permease or membrane-embedded enzyme; the transported substrate and molecular function are undetermined.,,new_family_or_domain,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1291c,,mtbc0_001382,hypothetical protein,Conserved hypothetical secreted protein,,,0,family_assigned,medium,"Secreted protein of the mycobacterial DUF732 family. All-vs-all structural clustering (Foldseek on ESMFold models, phase36) places it in a tight fold family (median TM-score 0.67) that includes the characterised host-directed effectors Rv1804c (sequesters host IkappaB-alpha) and Rv3354 (targets the host COP9 signalosome), plus the secreted antigen Rv1271c. It shares the family's N-terminal signal peptide (DeepTMHMM) and the ~110-aa secreted fold. A host-interaction / secreted-effector role is therefore plausible, but the specific molecular target of THIS member is not experimentally established (the DUF732 family is functionally heterogeneous).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING;phenotype;struct-cluster,purifying-selection,1
Rv1292,argS,mtbc0_001384,arginine--tRNA ligase,Probable arginyl-tRNA synthetase ArgS (ARGRS) (arginine--tRNA ligase),Involved in translation mechanism [catalytic activity: ATP + L-arginine + tRNA(ARG) = AMP + diphosphate + L-arginyl-tRNA(ARG)].,6.1.1.19,0,requalified,high,"Arginine--tRNA ligase. Pfam: Arg_tRNA_synt_N (PF03485.22), tRNA-synt_1d (PF00750.26), tRNA-synt_1 (PF00133.29), DALR_1 (PF05746.22).",6.1.1.19,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1293,lysA,mtbc0_001385,diaminopimelate decarboxylase,Diaminopimelate decarboxylase LysA (DAP decarboxylase),"Involved in biosynthesis of lysine (last step) [catalytic activity: MESO-2,6-diaminoheptanedioate = L-lysine + CO(2)].",4.1.1.20,0,requalified,high,"Diaminopimelate decarboxylase. Pfam: Orn_Arg_deC_N (PF02784.23), Orn_DAP_Arg_deC (PF00278.29).",4.1.1.20,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1294,thrA,mtbc0_001386,homoserine dehydrogenase,Probable homoserine dehydrogenase ThrA,Involved in the conversion of L-aspartate to homoserine (third step). Homoserine participates in the biosynthesis of threonine and then isoleucine and in the biosynthesis of methionine [catalytic activity: L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.],1.1.1.3,0,requalified,high,"Homoserine dehydrogenase. Pfam: NAD_binding_3 (PF03447.23), Homoserine_dh (PF00742.25), ACT (PF01842.32).",1.1.1.3;2.7.2.4,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1295,thrC,mtbc0_001387,threonine synthase,Threonine synthase ThrC (ts),Involved in threonine biosynthesis [catalytic activity: O-phospho-L-homoserine + H(2)O = L-threonine + phosphate],4.2.3.1,0,requalified,high,Threonine synthase. Pfam: PALP (PF00291.32).,4.2.3.1,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1296,thrB,mtbc0_001388,homoserine kinase,Probable homoserine kinase ThrB,Threonine biosynthesis from asparate (fourth step) [catalytic activity: ATP + L-homoserine = ADP + O-phospho-L-homoserine].,2.7.1.39,0,requalified,high,"Homoserine kinase. Pfam: GHMP_kinases_N (PF00288.33), GHMP_kinases_C (PF08544.19).",2.7.1.39,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1297,rho,mtbc0_001389,transcription termination factor Rho,Probable transcription termination factor Rho homolog,"Facilitates transcription termination by a mechanism that involves rho binding to the nascent RNA, activation of rho'S RNA-dependent ATPase activity, and release of the mRNA from the DNA template",3.6.4.-,0,requalified,high,"Transcription termination factor Rho. Pfam: Rho_N (PF07498.19), Rho_RNA_bind (PF07497.19), ATP-synt_ab (PF00006.32).",3.6.4.-,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1298,rpmE,mtbc0_001390,50S ribosomal protein L31,50S ribosomal protein L31 RpmE,Involved in translation,,0,requalified,high,50S ribosomal protein L31. Pfam: Ribosomal_L31 (PF01197.24).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,vulnerable;purifying-selection;MS-detected,0
Rv1299,prfA,mtbc0_001391,peptide chain release factor PrfA,Probable peptide chain release factor 1 PrfA (RF-1),Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA,,0,requalified,high,"Peptide chain release factor 1. Pfam: PCRF (PF03462.24), RF-1 (PF00472.27).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;vulnerable;MS-detected,0
Rv1300,hemK,mtbc0_001392,release factor glutamine methyltransferase,Probable HemK protein homolog HemK,Possibly involved in the oxidation of protoporphyrinogen into protoporphyrin IX,2.1.1.-,0,requalified,high,"Peptide chain release factor N(5)-glutamine methyltransferase. Pfam: PrmC_N (PF17827.7), MTS (PF05175.21), Methyltransf_25 (PF13649.13), Methyltransf_31 (PF13847.13), Methyltransf_11 (PF08241.19).",2.1.1.297,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;purifying-selection;MS-detected,0
Rv1301,,mtbc0_001393,threonylcarbamoyl-AMP synthase,Conserved protein,Function unknown,,1,requalified,high,L-threonylcarbamoyladenylate synthase. Pfam: Sua5_yciO_yrdC (PF01300.25).,2.7.7.87,new_function,1,curated function (UniProt);EC number;COG category;requalified function,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;purifying-selection;MS-detected,0
Rv1302,rfe,mtbc0_001394,decaprenyl-phosphate N-acetylglucosaminephosphotransferase,Probable undecapaprenyl-phosphate alpha-N-acetylglucosaminyltransferase Rfe (UDP-GlcNAc transferase),"Thought to be involved in AG biosynthesis. May be the tunicamycin sensitive transferase that catalyzes the synthesis of GlcNAc-pyrophosphorylundecaprenol (lipid I), the first lipid-linked intermediate involved in ECA synthesis.",2.7.8.n2,0,requalified,high,UDP-N-acetylglucosamine--decaprenyl-phosphate N-acetylglucosaminephosphotransferase. Pfam: Glycos_transf_4 (PF00953.27).,2.7.8.33;2.7.8.35,ec_reclassified,0,,reclassified,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;MS-detected,0
Rv1303,,mtbc0_001395,hypothetical protein,Conserved hypothetical transmembrane protein,Function unknown,,0,family_assigned,medium,ATP synthase subunit I. Pfam: ATP-synt_I (PF03899.22).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,vulnerable;MS-detected,0
Rv1304,atpB,mtbc0_001396,ATP synthase subunit A,Probable ATP synthase a chain AtpB (protein 6),Key component of the proton channel; it may play a direct role in the translocation of protons (H+) across the membrane,,0,family_assigned,medium,F0F1 ATP synthase subunit A. Pfam: ATP-synt_A (PF00119.26).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1305,atpE,mtbc0_001397,ATP synthase subunit C,Probable ATP synthase C chain AtpE (lipid-binding protein) (dicyclohexylcarbodiimide-binding protein),This is one of the three chains of the nonenzymatic component (cf(0) subunit) of the ATPase complex.,,0,family_assigned,medium,F0F1 ATP synthase subunit C. Pfam: ATP-synt_C (PF00137.27).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1306,atpF,mtbc0_001398,ATP synthase subunit B,Probable ATP synthase B chain AtpF,This is one of the three chains of the nonenzymatic component (cf(0) subunit) of the ATPase complex.,,0,family_assigned,medium,F0F1 ATP synthase subunit B. Pfam: ATP-synt_B (PF00430.24).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv1307,atpH,mtbc0_001399,ATP synthase subunit b/delta,Probable ATP synthase delta chain AtpH,This protein seems to be part of the stalk that LINKS cf(0) to cf(1). It either transmits conformational changes from cf(0) into cf(1) or is implicated in proton conduction [catalytic activity: ATP + H(2)O + H(+)(in) = ADP + phosphate + H(+)(out)],,0,family_assigned,medium,"F0F1 ATP synthase subunit B/delta. Pfam: ATP-synt_B (PF00430.24), OSCP (PF00213.24).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv1308,atpA,mtbc0_001400,ATP synthase subunit alpha,Probable ATP synthase alpha chain AtpA,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit [catalytic activity:ATP + H(2)O + H(+)(in) = ADP + phosphate + H(+)(out)],3.6.3.14,0,family_assigned,medium,"F0F1 ATP synthase subunit alpha. Pfam: ATP-synt_ab_N (PF02874.30), ATP-synt_ab (PF00006.32), ATP-synt_ab_C (PF00306.33).",3.6.3.14;7.1.2.2,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1309,atpG,mtbc0_001401,ATP synthase subunit gamma,Probable ATP synthase gamma chain AtpG,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the cf(0) complex.,,0,family_assigned,medium,F0F1 ATP synthase subunit gamma. Pfam: ATP-synt (PF00231.25).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;MS-detected,0
Rv1310,atpD,mtbc0_001402,ATP synthase subunit beta,Probable ATP synthase beta chain AtpD,Produces ATP from ADP in the presence of a proton gradient across the membrane. The beta chain is the catalytic subunit [catalytic activity: ATP + H(2)O + H(+)(in) = ADP + phosphate + H(+)(out)],3.6.3.14,0,family_assigned,medium,"F0F1 ATP synthase subunit beta. Pfam: ATP-synt_ab_N (PF02874.30), ATP-synt_ab (PF00006.32), ATP-synt_VA_C (PF22919.2).",3.6.3.14;7.1.2.2,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,essential;vulnerable;purifying-selection;MS-detected,0
Rv1311,atpC,mtbc0_001403,ATP synthase subunit epsilon,Probable ATP synthase epsilon chain AtpC,Produces ATP from ADP in the presence of a proton gradient across the membrane [catalytic activity: ATP + H(2)O + H(+)(in) = ADP + phosphate + H(+)(out)],,0,family_assigned,medium,F0F1 ATP synthase subunit epsilon. Pfam: ATP-synt_DE_N (PF02823.22).,,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,vulnerable;purifying-selection;MS-detected,0
Rv1312,,mtbc0_001404,hypothetical protein,Conserved hypothetical secreted protein,,,0,family_assigned,low,"Membrane protein encoded as the terminal gene of the F1F0-ATP synthase operon (Rv1303-atpBEFGHDC-Rv1312; operon structure established in the published M. tuberculosis oxidative-phosphorylation literature), co-transcribed with the atp genes and under strong purifying selection. The convergent context — co-transcription within the ATP-synthase operon, predicted membrane localisation, and an in-vivo fitness requirement (Tn-seq) — makes it a candidate accessory / associated component of the mycobacterial ATP synthase (oxidative phosphorylation). Whether it is a structural subunit, an assembly factor, or a co-regulated membrane protein is not established. RefSeq leaves it 'hypothetical protein'.",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING;operon-context;phenotype,purifying-selection;pseudogene-candidate;MS-detected,0
Rv1313c,,mtbc0_004026,insertion sequence element IS1557 transposase,Possible transposase,Possibly required for the transposition of the insertion element IS1557.,,0,family_assigned,medium,"ISL3-like element IS1557 family transposase. Pfam: Zn_ribbon_ISL3 (PF14690.12), HTH_Tnp_ISL3 (PF13542.13), DDE_Tnp_ISL3 (PF01610.24).",,confirmed,0,,,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,MS-detected,0
Rv1314c,,mtbc0_001406,"cob(I)yrinic acid a,c-diamide adenosyltransferase",Conserved protein,Function unknown,2.5.1.17,1,requalified,high,Cob(I)yrinic acid a%2Cc-diamide adenosyltransferase. Pfam: Cob_adeno_trans (PF01923.24).,2.5.1.17,new_function,1,EC number;requalified function,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,MS-detected,0
Rv1315,murA,mtbc0_001407,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Probable UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA,Involved in cell wall formation; peptidoglycan biosynthesis. Adds enolpyruvyl to UDP-N-acetylglucosamine [catalytic activity: phosphoenolpyruvate + UDP-N-acetyl-D- glucosamine = phosphate + UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine],2.5.1.7,0,requalified,high,UDP-N-acetylglucosamine 1-carboxyvinyltransferase. Pfam: EPSP_synthase (PF00275.26).,2.5.1.7,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;STRING,essential;purifying-selection;MS-detected,0
Rv1316c,ogt,mtbc0_001411,methylated-DNA--protein-cysteine methyltransferase,Methylated-DNA--protein-cysteine methyltransferase Ogt (6-O-methylguanine-DNA methyltransferase) (O-6-methylguanine-DNA-alkyltransferase),Repair of alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction: the enzyme is irreversibly inactivated [catalytic activity: DNA (containing 6-O-methylguanine) + [protein]-L-cysteine = DNA (without 6-O-methylguanine) + protein S-methyl-L-cysteine.],2.1.1.63,0,requalified,high,"Methylated-DNA--protein-cysteine methyltransferase. Pfam: Methyltransf_1N (PF02870.22), DNA_binding_1 (PF01035.27).",2.1.1.63,confirmed,0,,agree,literature (SwissProt-curated),1,eggNOG;SwissProt;Pfam;Foldseek;PDB;STRING,purifying-selection;MS-detected,0
